subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates
0,random,23,229,"{'cx': 297, 'u2': 169, 'cu1': 139, 'h': 94, 'u1': 79, 'u3': 59, 'ry': 42, 'rx': 28, 'ccx': 28, 'rzz': 25, 't': 23, 'measure': 23, 'tdg': 21, 'rz': 20, 'cu3': 20, 's': 15, 'cry': 13, 'rxx': 12, 'ch': 12, 'swap': 12, 'cy': 12, 'crx': 11, 'crz': 10, 'cswap': 9, 'cz': 7, 'cp': 7, 'p': 6, 'y': 6, 'x': 6, 'u': 6, 'sx': 5, 'z': 3, 'sxdg': 1, 'sdg': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1840,"{'cx': 3884, 'rz': 2290, 'sx': 1070, 'x': 98, 'measure': 23, 'barrier': 1}",127,1934,"{'cx': 3906, 'rz': 2274, 'sx': 1035, 'x': 86, 'measure': 23, 'barrier': 1}"
0,qnn,39,385,"{'cx': 3002, 'p': 1482, 'u2': 78, 'ry': 78, 'measure': 39, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1452,"{'rz': 7040, 'cx': 5266, 'sx': 4184, 'x': 196, 'measure': 39, 'barrier': 1}"
0,ae,13,72,"{'cp': 66, 'cx': 24, 'u': 13, 'measure': 13, 'u2': 12, 'u3': 12, 'h': 12, 'barrier': 1}",-1,-1,{},16,368,"{'rz': 346, 'cx': 288, 'sx': 147, 'measure': 13, 'x': 12, 'barrier': 1}",27,365,"{'rz': 346, 'cx': 300, 'sx': 146, 'measure': 13, 'x': 10, 'barrier': 1}",127,351,"{'rz': 378, 'cx': 275, 'sx': 167, 'measure': 13, 'x': 11, 'barrier': 1}"
0,qnn,33,325,"{'cx': 2144, 'p': 1056, 'u2': 66, 'ry': 66, 'measure': 33, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1124,"{'cx': 4232, 'rz': 3565, 'sx': 1764, 'x': 190, 'measure': 33, 'barrier': 1}"
0,qnn,27,265,"{'cx': 1430, 'p': 702, 'u2': 54, 'ry': 54, 'measure': 27, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1163,"{'cx': 3060, 'rz': 1956, 'sx': 764, 'x': 190, 'measure': 27, 'barrier': 1}",127,945,"{'cx': 2948, 'rz': 2175, 'sx': 965, 'x': 163, 'measure': 27, 'barrier': 1}"
0,ae,5,24,"{'cx': 8, 'cp': 6, 'u': 5, 'measure': 5, 'u2': 4, 'u3': 4, 'h': 4, 'barrier': 1}",7,78,"{'rz': 44, 'cx': 32, 'sx': 22, 'measure': 5, 'x': 2, 'barrier': 1}",16,78,"{'rz': 44, 'cx': 32, 'sx': 22, 'measure': 5, 'x': 2, 'barrier': 1}",27,79,"{'rz': 48, 'cx': 30, 'sx': 26, 'measure': 5, 'x': 3, 'barrier': 1}",127,74,"{'rz': 45, 'cx': 28, 'sx': 24, 'measure': 5, 'barrier': 1}"
0,random,26,297,"{'cx': 452, 'u2': 220, 'cu1': 136, 'u1': 111, 'h': 84, 'u3': 81, 'ry': 80, 'rx': 35, 's': 30, 'rzz': 26, 'ccx': 26, 'measure': 26, 'tdg': 25, 't': 24, 'cu3': 24, 'sx': 23, 'rz': 20, 'x': 18, 'cry': 18, 'cswap': 18, 'cy': 17, 'swap': 17, 'crx': 16, 'ch': 15, 'rxx': 15, 'cp': 13, 'cz': 12, 'crz': 9, 'p': 8, 'u': 8, 'y': 6, 'sxdg': 4, 'sdg': 3, 'z': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,2571,"{'cx': 5360, 'rz': 2907, 'sx': 1442, 'x': 116, 'measure': 26, 'barrier': 1}",127,2542,"{'cx': 5454, 'rz': 2949, 'sx': 1483, 'x': 127, 'measure': 26, 'barrier': 1}"
0,realamprandom,40,162,"{'cx': 2340, 'ry': 160, 'measure': 40, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1409,"{'cx': 7169, 'rz': 2136, 'sx': 1395, 'x': 116, 'measure': 40, 'barrier': 1}"
0,twolocalrandom,45,182,"{'cx': 2970, 'ry': 180, 'measure': 45, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1544,"{'cx': 8237, 'rz': 3214, 'sx': 1968, 'x': 201, 'measure': 45, 'barrier': 1}"
0,qftentangled,43,89,"{'cp': 903, 'h': 44, 'measure': 43, 'cx': 42, 'swap': 21, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1319,"{'cx': 4333, 'rz': 2804, 'sx': 642, 'x': 73, 'measure': 43, 'barrier': 1}"
